name,url,,topic1,topic2,topic3,topic4,topic5
Senate Finance Committee: Website News,https://www.finance.senate.gov/,,,,,,
Senate Finance Committee: Committee Activity,https://www.congress.gov/committee/senate-finance/ssfi00,,,,,,
Senate Foreign Relations Committee: Website News,https://www.foreign.senate.gov/press,,,,,,
Senate Foreign Relations Committee: Committee Activity,https://www.congress.gov/committee/senate-foreign-relations/ssfr00,,,,,,
"Senate Health, Education, Labor, and Pensions Committee: Website News",https://www.help.senate.gov/ranking/newsroom/press,,,,,,
"Senate Health, Education, Labor, and Pensions Committee: Committee Activity",https://www.congress.gov/committee/senate-health-education-labor-and-pensions/sshr00,,,,,,
Senate Homeland Security and Governmental Affairs Committee: Website News,https://www.hsgac.senate.gov/media/,,,,,,
Senate Homeland Security and Governmental Affairs Committee: Committee Activity,https://www.congress.gov/committee/senate-homeland-security-and-governmental-affairs/ssga00,,,,,,
Senate Judiciary Committee: Website News,https://www.judiciary.senate.gov/press,,,,,,
Senate Judiciary Committee: Committee Activity,https://www.congress.gov/committee/senate-judiciary/ssju00,,,,,,
Senate Rules and Administration Committee: Website News,https://www.rules.senate.gov/news/press-releases,,,,,,
Senate Rules and Administration Committee: Committee Activity,https://www.congress.gov/committee/senate-rules-and-administration/ssra00,,,,,,
Senate Small Business and Entrepreneurship Committee: Website News,https://www.sbc.senate.gov/public/,,,,,,
Senate Small Business and Entrepreneurship Committee: Committee Activity,https://www.congress.gov/committee/senate-small-business-and-entrepreneurship/sssb00,,,,,,
Senate Veterans' Affairs Committee: Website News,https://www.veterans.senate.gov/,,,,,,
Senate Veterans' Affairs Committee: Committee Activity,https://www.congress.gov/committee/senate-veterans-affairs/ssva00,,,,,,
House Permanent Select Committee on Intelligence: Website News,https://intelligence.house.gov/news/,,,,,,
House Permanent Select Committee on Intelligence: Committee Activity,https://www.congress.gov/committee/house-intelligence-permanent-select/hlig00,,,,,,
Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party: Website News,https://selectcommitteeontheccp.house.gov/media,,,,,,
Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party: Committee Activity,https://www.congress.gov/committee/house-select-committee-on-the-strategic-competition-between-the-united-states-and-the-chinese-communist-party/hlzs00,,,,,,
Senate Aging (Special) Committee: Website News,https://www.aging.senate.gov/press-room/press-releases,,,,,,
Senate Aging (Special) Committee: Committee Activity,https://www.congress.gov/committee/senate-aging-special/spag00,,,,,,
United States Senate Caucus on International Narcotics Control: Website News,https://www.drugcaucus.senate.gov/media-center/press-releases/,,,,,,
United States Senate Caucus on International Narcotics Control: Committee Activity,https://www.congress.gov/committee/senate-caucus-on-international-narcotics-control/scnc00,,,,,,
Senate Ethics (Select) Committee: Website News,https://www.ethics.senate.gov/public/index.cfm/pressreleases,,,,,,
Senate Ethics (Select) Committee: Committee Activity,https://www.congress.gov/committee/senate-ethics-select/slet00,,,,,,
Senate Indian Affairs Committee: Website News,https://www.indian.senate.gov/newsroom/,,,,,,
Senate Indian Affairs Committee: Committee Activity,https://www.congress.gov/committee/senate-indian-affairs/slia00,,,,,,
Senate Intelligence (Select) Committee: Website News,https://www.intelligence.senate.gov/press,,,,,,
Senate Intelligence (Select) Committee: Committee Activity,https://www.congress.gov/committee/senate-intelligence-select/slin00,,,,,,
Joint Committee on Printing: Website News,https://cha.house.gov/press-releases,,,,,,
Joint Committee on Printing: Committee Activity,https://www.congress.gov/committee/joint-committee-on-printing/jspr00,,,,,,
Joint Committee on Taxation: Website News,https://www.jct.gov/publications/?searchmode=anyword&searchtext=&topicid=0&pubid=&pubdtfrom=&pubdtto=,,,,,,
Joint Committee on Taxation: Committee Activity,https://www.congress.gov/committee/joint-committee-on-taxation/jstx00,,,,,,
Joint Committee on the Library: Website News,https://cha.house.gov/press-releases,,,,,,
Joint Committee on the Library: Committee Activity,https://www.congress.gov/committee/joint-committee-on-the-library/jslc00,,,,,,
Joint Economic Committee: Website News,https://www.jec.senate.gov/public/,,,,,,
Joint Economic Committee: Committee Activity,https://www.congress.gov/committee/joint-economic-committee/jsec00,,,,,,
Commission on Security and Cooperation in Europe (U.S. Helsinki Commission): Website News,https://www.csce.gov/,,,,,,
Commission on Security and Cooperation in Europe (U.S. Helsinki Commission): Committee Activity,https://www.congress.gov/committee/commission-on-security-and-cooperation-in-europe-u-s-helsinki-commission/jcse00,,,,,,
Congressional-Executive Commission on China: Website News,https://www.cecc.gov/,,,,,,
Congressional-Executive Commission on China: Committee Activity,https://www.congress.gov/committee/congressional-executive-commission-on-china/jcpk00,,,,,,
Congressional Oversight Commission: Website News,https://coc.senate.gov/,,,,,,
Congressional Oversight Commission: Committee Activity,https://www.congress.gov/committee/congressional-oversight-commission/jcov00,,,,,,
The Hill,https://thehill.com/,,,,,,
Newsmax,https://www.newsmax.com/,,,,,,
The Heritage Foundation,https://www.heritage.org/,,,,,,
